Input,canonical name,Registered Domain,Hop,(ms),(ms),(ms),IP Address,Host name,Time of day,Hop count
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,1,0,0,0,207.86.208.17,-,19,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,2,34,34,34,207.88.13.122,vb2000d1.rar3.dallas-tx.us.xo.net,19,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,3,34,35,34,207.88.12.209,207.88.12.209.ptr.us.xo.net,19,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,4,34,34,34,207.88.12.217,207.88.12.217.ptr.us.xo.net,19,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,5,34,34,34,207.88.12.214,207.88.12.214.ptr.us.xo.net,19,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,6,34,34,34,207.88.14.191,207.88.14.191.ptr.us.xo.net,19,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,7,35,35,35,209.48.43.106,-,19,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,8,Timed out,Timed out,Timed out,,-,19,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,9,Timed out,Timed out,Timed out,,-,19,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,10,35,35,35,192.30.253.113,lb-192-30-253-113-iad.github.com,19,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,1,0,0,0,207.86.208.17,-,22,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,2,35,34,35,207.88.13.122,vb2000d1.rar3.dallas-tx.us.xo.net,22,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,3,34,35,34,207.88.12.209,207.88.12.209.ptr.us.xo.net,22,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,4,34,34,34,207.88.12.217,207.88.12.217.ptr.us.xo.net,22,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,5,34,35,43,207.88.12.214,207.88.12.214.ptr.us.xo.net,22,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,6,35,34,42,207.88.14.191,207.88.14.191.ptr.us.xo.net,22,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,7,35,35,35,209.48.43.106,-,22,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,8,Timed out,Timed out,Timed out,,-,22,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,9,Timed out,Timed out,Timed out,,-,22,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,10,35,35,35,192.30.253.113,lb-192-30-253-113-iad.github.com,22,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,1,0,0,0,207.86.208.17,-,23,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,2,35,39,34,207.88.13.122,vb2000d1.rar3.dallas-tx.us.xo.net,23,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,3,36,34,34,207.88.12.209,207.88.12.209.ptr.us.xo.net,23,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,4,34,34,35,207.88.12.217,207.88.12.217.ptr.us.xo.net,23,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,5,34,34,34,207.88.12.214,207.88.12.214.ptr.us.xo.net,23,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,6,34,34,34,207.88.14.191,207.88.14.191.ptr.us.xo.net,23,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,7,35,35,35,209.48.43.106,-,23,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,8,Timed out,Timed out,Timed out,,-,23,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,9,Timed out,Timed out,Timed out,,-,23,10
192.30.253.113,lb-192-30-253-113-iad.github.com,github.com,10,35,35,35,192.30.253.113,lb-192-30-253-113-iad.github.com,23,10
216.239.36.5,any-in-2405.1e100.net,1e100.net,1,0,0,0,207.86.208.17,-,19,5
216.239.36.5,any-in-2405.1e100.net,1e100.net,2,0,0,0,207.86.208.62,-,19,5
216.239.36.5,any-in-2405.1e100.net,1e100.net,3,1,1,1,108.170.240.129,-,19,5
216.239.36.5,any-in-2405.1e100.net,1e100.net,4,0,0,0,108.170.238.221,-,19,5
216.239.36.5,any-in-2405.1e100.net,1e100.net,5,0,0,0,216.239.36.5,any-in-2405.1e100.net,19,5
216.239.36.5,any-in-2405.1e100.net,1e100.net,1,0,0,0,207.86.208.17,-,22,5
216.239.36.5,any-in-2405.1e100.net,1e100.net,2,0,0,0,207.86.208.62,-,22,5
216.239.36.5,any-in-2405.1e100.net,1e100.net,3,1,1,1,108.170.240.129,-,22,5
216.239.36.5,any-in-2405.1e100.net,1e100.net,4,0,0,0,108.170.238.221,-,22,5
216.239.36.5,any-in-2405.1e100.net,1e100.net,5,0,0,0,216.239.36.5,any-in-2405.1e100.net,22,5
216.239.36.5,any-in-2405.1e100.net,1e100.net,1,0,0,0,207.86.208.17,-,23,5
216.239.36.5,any-in-2405.1e100.net,1e100.net,2,0,0,0,207.86.208.62,-,23,5
216.239.36.5,any-in-2405.1e100.net,1e100.net,3,1,1,1,108.170.240.129,-,23,5
216.239.36.5,any-in-2405.1e100.net,1e100.net,4,0,0,0,108.170.238.221,-,23,5
216.239.36.5,any-in-2405.1e100.net,1e100.net,5,0,0,0,216.239.36.5,any-in-2405.1e100.net,23,5
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,1,0,0,0,67.219.148.9,dfw-c1-vl0990.cpgventures.com,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,2,0,0,0,184.105.25.73,v509.core1.dal1.he.net,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,3,23,24,23,184.105.81.169,100ge8-1.core1.atl1.he.net,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,4,35,71,152,184.105.213.70,100ge8-1.core1.ash1.he.net,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,5,35,35,35,72.52.92.226,100ge5-1.core2.ash1.he.net,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,6,40,40,40,184.105.81.149,100ge8-1.core1.nyc5.he.net,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,7,116,101,100,184.105.65.246,100ge8-2.core1.dub1.he.net,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,8,104,104,104,72.52.92.197,100ge3-2.core1.man1.he.net,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,9,112,116,121,184.105.213.65,100ge16-1.core1.ams1.he.net,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,10,126,126,126,184.105.65.18,100ge12-1.core1.ber1.he.net,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,11,Timed out,Timed out,Timed out,,-,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,12,Timed out,Timed out,Timed out,,-,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,13,Timed out,Timed out,Timed out,,-,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,14,Timed out,Timed out,Timed out,,-,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,15,Timed out,Timed out,Timed out,,-,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,16,Timed out,Timed out,Timed out,,-,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,17,Timed out,Timed out,Timed out,,-,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,18,Timed out,Timed out,Timed out,,-,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,19,Timed out,Timed out,Timed out,,-,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,20,155,157,154,77.64.170.23,77-64-170-23.dynamic.primacom.net,19,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,1,130,2,0,67.219.148.9,dfw-c1-vl0990.cpgventures.com,22,20
